node_count,salesman_count,solver,runs,avg_objective,avg_time_seconds,reference_solver,avg_reference_objective,avg_reference_time_seconds,avg_objective_gap,avg_relative_gap_percent,valid_runs,reference_valid_runs,better_than_reference_runs
20,2,lkh-wrapper-v1,10,449.109137,0.000464,ortools-gls,365.718201,5.000524,83.390936,23.081994,10,10,0
20,3,lkh-wrapper-v1,10,509.355975,0.000293,ortools-gls,378.998311,5.001058,130.357664,34.458318,10,10,0
20,5,lkh-wrapper-v1,10,652.414656,0.000314,ortools-gls,401.735001,5.00052,250.679656,62.459683,10,10,0
50,2,lkh-wrapper-v1,10,664.584501,0.002841,ortools-gls,577.569335,5.000956,87.015166,15.302939,10,10,0
50,3,lkh-wrapper-v1,10,713.023853,0.002552,ortools-gls,579.231547,5.000724,133.792306,23.05061,10,10,0
50,5,lkh-wrapper-v1,10,950.142333,0.002145,ortools-gls,588.167659,5.000529,361.974674,61.863715,10,10,0
100,2,lkh-wrapper-v1,10,874.246837,0.012927,ortools-gls,787.748738,5.000851,86.498099,11.125438,10,10,0
100,3,lkh-wrapper-v1,10,1009.844409,0.017267,ortools-gls,827.635909,5.000794,182.208501,22.073193,10,10,0
100,5,lkh-wrapper-v1,10,1184.915116,0.018704,ortools-gls,805.521668,5.001027,379.393448,47.159814,10,10,0
200,2,lkh-wrapper-v1,10,1212.738036,0.102663,ortools-gls,1136.093844,5.000955,76.644193,6.75643,10,10,1
200,3,lkh-wrapper-v1,10,1305.862695,0.08961,ortools-gls,1143.027631,5.000962,162.835064,14.305717,10,10,0
200,5,lkh-wrapper-v1,10,1544.082737,0.113691,ortools-gls,1153.235162,5.000902,390.847575,33.89503,10,10,0
